genes	GOcats
AC177946.2_FG004	GO:0000287
AC177946.2_FG004	GO:0004634
AC177946.2_FG004	GO:0006096
AC177946.2_FG004	GO:0016020
AC177946.2_FG004	GO:0042309
AC177946.2_FG004	GO:0050825
AC177946.2_FG004	GO:0050826
AC177946.2_FG004	GO:0051260
AC182110.4_FG002	GO:0008152
AC182423.2_FG005	GO:0003676
AC182423.2_FG005	GO:0008270
AC182423.2_FG005	GO:0016818
AC182439.4_FG004	GO:0016021
AC182482.3_FG003	GO:0006812
AC182482.3_FG003	GO:0008324
AC182482.3_FG003	GO:0016020
AC182482.3_FG003	GO:0055085
AC182617.3_FG001	GO:0005737
AC182617.3_FG001	GO:0008837
AC182617.3_FG001	GO:0009089
AC182620.2_FG001	GO:0003676
AC182620.2_FG001	GO:0008270
AC182625.4_FG003	GO:0007186
AC182625.4_FG003	GO:0016021
AC182625.4_FG003	GO:0016499
AC182627.2_FG003	GO:0004974
AC182627.2_FG003	GO:0007186
AC182627.2_FG003	GO:0016021
AC182833.3_FG005	GO:0003676
AC182833.3_FG005	GO:0008270
AC183314.3_FG004	GO:0004674
AC183314.3_FG004	GO:0005524
AC183314.3_FG004	GO:0006468
AC183315.4_FG006	GO:0005488
AC183412.5_FG005	GO:0003676
AC183412.5_FG005	GO:0008270
AC183508.3_FG004	GO:0003735
AC183508.3_FG004	GO:0005622
AC183508.3_FG004	GO:0005840
AC183508.3_FG004	GO:0006412
AC183518.2_FG001	GO:0003676
AC183518.2_FG001	GO:0008270
AC183521.2_FG002	GO:0003824
AC183521.2_FG002	GO:0005575
AC183521.2_FG002	GO:0051536
AC183521.2_FG002	GO:0051539
AC183783.4_FG003	GO:0003677
AC183783.4_FG003	GO:0004879
AC183783.4_FG003	GO:0005634
AC183783.4_FG003	GO:0006355
AC183817.2_FG002	GO:0004937
AC183817.2_FG002	GO:0007186
AC183817.2_FG002	GO:0016021
AC183822.3_FG003	GO:0003735
AC183822.3_FG003	GO:0005622
AC183822.3_FG003	GO:0005840
AC183822.3_FG003	GO:0006412
AC183822.3_FG003	GO:0042309
AC183822.3_FG003	GO:0050825
AC183822.3_FG003	GO:0050826
AC183917.3_FG005	GO:0005525
AC183917.3_FG005	GO:0007264
AC183917.3_FG005	GO:0015031
AC183933.2_FG002	GO:0005179
AC183933.2_FG002	GO:0005576
AC183938.4_FG011	GO:0008270
AC183950.2_FG002	GO:0005622
AC183950.2_FG002	GO:0008270
AC183950.2_FG006	GO:0003676
AC183950.2_FG006	GO:0008152
AC183950.2_FG006	GO:0016491
AC183950.2_FG006	GO:0050660
AC183950.2_FG006	GO:0055114
AC184049.3_FG003	GO:0003676
AC184049.3_FG003	GO:0003677
AC184049.3_FG003	GO:0008270
AC184050.2_FG005	GO:0003677
AC184131.5_FG007	GO:0003677
AC184131.5_FG007	GO:0003824
AC184164.2_FG006	GO:0003676
AC184169.3_FG001	GO:0042309
AC184169.3_FG001	GO:0050825
AC184169.3_FG001	GO:0050826
AC184707.3_FG003	GO:0005507
AC184707.3_FG003	GO:0008131
AC184707.3_FG003	GO:0009308
AC184707.3_FG003	GO:0048038
AC184707.3_FG003	GO:0055114
AC184764.3_FG003	GO:0004413
AC184764.3_FG003	GO:0005524
AC184764.3_FG003	GO:0006566
AC184764.3_FG003	GO:0042309
AC184764.3_FG003	GO:0050825
AC184764.3_FG003	GO:0050826
AC184767.4_FG001	GO:0042309
AC184767.4_FG001	GO:0050825
AC184767.4_FG001	GO:0050826
AC184771.4_FG003	GO:0042309
AC184771.4_FG003	GO:0050825
AC184771.4_FG003	GO:0050826
AC184782.3_FG004	GO:0000785
AC184782.3_FG004	GO:0003677
AC184782.3_FG004	GO:0005634
AC184787.2_FG002	GO:0006835
AC184787.2_FG002	GO:0016020
AC184787.2_FG002	GO:0017153
AC184787.2_FG002	GO:0042309
AC184787.2_FG002	GO:0050825
AC184787.2_FG002	GO:0050826
AC184794.2_FG003	GO:0005215
