Gene	ck_rep1	ck_rep2	ck_rep3	trt_rep1	trt_rep2	trt_rep3	ck_rep1.RPKM	ck_rep2.RPKM	ck_rep3.RPKM	trt_rep1.RPKM	trt_rep2.RPKM	trt_rep3.RPKM	log2FC	pval	qval	ck.mean	trt.mean
AC152495.1_FG017	121	111	129	81	108	115	2.707	2.354	2.832	1.982	2.445	2.357	-0.222899708469811	0.497800741729384	0.901909232572375	118.4	109.9
AC155376.2_FG004	53	82	57	36	54	50	2.349	3.446	2.479	1.745	2.423	2.031	-0.413132437019947	0.33475363100143	0.832880843088654	62.5	48.7
AC155376.2_FG005	169	139	189	109	213	169	8.423	6.569	9.244	5.942	10.746	7.719	-0.021596931125441	0.949090694396921	0.995294820688466	163.3	155.6
AC155377.1_FG001	1561	1713	1380	1041	1481	1423	20.872	21.719	18.108	15.225	20.045	17.437	-0.211771497100175	0.251402016409407	0.786807039855405	1520.4	1272.5
AC155377.1_FG002	374	360	312	288	348	382	17.721	16.175	14.508	14.927	16.691	16.588	-0.00640136408038208	0.977937468018798	0.996553976187432	342.2	316.9
AC155390.2_FG002	60	97	79	43	57	68	2.164	3.318	2.796	1.697	2.081	2.248	-0.452099312196854	0.257009343935494	0.789893514239452	76.9	63.6
AC155434.2_FG001	41	47	39	42	72	53	3.177	3.454	2.966	3.56	5.648	3.764	0.405902692728631	0.373507641922433	0.853382136188248	41.5	42.9
AC155434.2_FG004	612	692	544	442	650	667	8.469	9.08	7.388	6.691	9.105	8.459	-0.0498239874515654	0.814421246296791	0.980704268462301	603.5	519.2
AC155434.2_FG005	98	124	125	95	104	154	6.397	7.676	8.008	6.784	6.872	9.213	0.0393130085975258	0.902228133369083	0.990609188832034	113.5	115.7
AC155434.2_FG006	492	508	549	294	486	458	24.675	24.158	27.02	16.129	24.673	21.051	-0.31672533590859	0.167368511298939	0.702289590048676	507.5	439.6
AC155496.2_FG009	1162	1265	1130	823	1094	1034	29.697	30.655	28.34	23.007	28.302	24.217	-0.240294563578113	0.186411188906754	0.726001895030083	1163.1	1025.7
AC155610.2_FG007	36	35	67	150	12	32	1.828	1.686	3.339	8.333	0.617	1.489	-0.202393772318945	0.791676874120703	0.976187863960319	45.5	117
AC155610.2_FG009	165	174	133	111	221	162	58.291	58.288	46.11	42.895	79.033	52.449	0.0621594740038123	0.841624203102696	0.984785590424162	154.2	128.6
AC155622.2_FG001	654	655	589	391	717	705	39.475	37.489	34.889	25.816	43.809	38.998	-0.0762320487371046	0.750687341727268	0.967318102849762	621	513.5
AC155622.2_FG004	257	342	279	147	385	423	23.838	30.079	25.395	14.914	36.148	35.956	0.0372533346434016	0.899165956280578	0.990438566914114	286.5	222
AC155624.2_FG006	411	455	419	213	397	402	15.013	15.76	15.02	8.511	14.679	13.457	-0.359326752469176	0.146207014907098	0.67105246184781	420.2	329.2
AC155624.2_FG011	913	707	787	908	773	716	79.181	58.141	66.98	86.138	67.862	56.907	0.0331083127471526	0.870613383511814	0.987525998604024	790	900.2
AC159612.1_FG007	17	21	16	105	30	152	0.902	1.056	0.833	6.091	1.61	7.387	2.20634025773205	0.000363161739201488	0.012121591168612	17.6	66.3
AC165178.2_FG004	30	25	32	12	17	17	1.88	1.486	1.968	0.823	1.078	0.976	-0.891079185457133	0.175137858911757	0.711364349269889	28.6	22.8
AC166636.1_FG007	69	62	68	34	21	19	6.907	5.885	6.68	3.723	2.128	1.743	-1.42532748346716	0.00515349186488575	0.097069547599429	65.3	53.1
AC166636.1_FG008	95	108	75	82	129	117	7.237	7.802	5.607	6.833	9.948	8.169	0.267700843347786	0.438065186401909	0.879735657773866	90.7	83.3
AC166636.1_FG009	22	20	13	27	29	30	0.604	0.521	0.351	0.811	0.807	0.755	0.71137373944218	0.261598427035943	0.793334346857858	18	21.5
AC177831.3_FG004	604	535	530	319	461	363	29.917	25.128	25.762	17.284	23.114	16.478	-0.52205360335551	0.0255946053615643	0.288441289916298	546.9	443.9
AC177838.2_FG015	88	67	94	15	53	43	8.1	5.848	8.491	1.51	4.938	3.627	-1.264814755701	0.0174438123204778	0.229121648285813	81.9	55.6
AC177850.2_FG005	112	168	128	191	169	127	15.827	22.511	17.751	29.524	24.175	16.447	0.292357313037288	0.381718592210271	0.855513872465758	133	170.4
